scenario,method,instance,rmse,topk_jaccard,rank_tau,stability,fidelity_r2,spurious_mass,causal_gap,counterfactual_validity,runtime_ms,ci_coverage
SparseAdd,OTBE-noOrthogonal,3,0.028545955570010228,1.0,0.7587869106393282,1.0,0.9882091113050897,0.021403654928222313,0.3237193029569362,0.9999999932132769,1.1826999834738672,0.16666666666666666
SparseAdd,OTBE-noOrthogonal,4,0.08030156615120604,1.0,0.7587869106393282,1.0,0.9821163078599693,0.024719723041376637,0.5799814478323111,0.9999999962926716,0.9843999869190156,0.020833333333333332
SparseAdd,OTBE-noOrthogonal,5,0.08953849133222366,1.0,0.7587869106393282,1.0,0.9875908382042262,0.020373779859010423,0.7356104860715691,0.9999999966731198,0.9678750648163259,0.12499999999999999
SparseAdd,OTBE-noOrthogonal,6,0.45416176981783285,0.6,0.7188507574477846,1.0,0.8905446772844441,0.07081398076155161,1.2900912202810253,0.8587109757764864,1.4677999424748123,0.4791666666666667
SparseAdd,OTBE-noOrthogonal,7,0.12515921642169034,1.0,0.7587869106393282,1.0,0.9690780588209751,0.014084420030372007,1.0741056398965478,0.9999999839079601,1.0502999648451805,0.6458333333333334
SparseAdd,OTBE-noOrthogonal,8,0.02496702748689608,1.0,0.7587869106393282,0.6666666666666666,0.9858876403538142,0.008692205261054253,0.5188234294922603,0.9999999887710538,0.9525750065222383,0.6458333333333334
SparseAdd,OTBE-noOrthogonal,9,0.0587688932489397,1.0,0.7587869106393282,1.0,0.9845844878889651,0.01299226594252241,0.3193917349158291,0.9999999904597082,1.5103750047273934,0.22916666666666669
SparseAdd,OTBE-noOrthogonal,10,0.07396646563019879,1.0,0.7587869106393282,1.0,0.9878887354848658,0.015367601770810237,0.5736085897275723,0.9999999952805113,1.383825030643493,0.18749999999999997
SparseAdd,OTBE-noOrthogonal,11,0.037517886660050646,0.6,0.678914604256241,0.7999999999999999,0.98468113014279,0.024492410785421602,0.4109344374409195,1.0297387399634697,1.0545750265009701,0.14583333333333331
SparseAdd,OTBE-noBootstrap,0,0.023768880722942712,1.0,0.7188507574477846,1.0,0.990367270359894,0.0024030290977132955,0.3396178638968686,0.9999999762317459,0.4006249364465475,0.0
SparseAdd,OTBE-noBootstrap,1,0.5332578646067312,1.0,0.678914604256241,1.0,0.8685155756557479,0.029162611915248007,1.4393711573315222,0.9999999968765054,0.3585249651223421,0.0
SparseAdd,OTBE-noBootstrap,2,0.06280093975988621,1.0,0.7188507574477846,1.0,0.9874670509013195,0.00889231349841524,0.37463152408771894,0.9999999880362197,0.348100031260401,0.0
SparseAdd,OTBE-noBootstrap,3,0.02950640736430166,1.0,0.7587869106393282,1.0,0.9905916095566167,0.014996196051497475,0.32817546012767906,0.9999999932132769,0.39282499346882105,0.0
SparseAdd,OTBE-noBootstrap,4,0.08432788381971024,1.0,0.7587869106393282,1.0,0.981718316744972,0.03649181319993807,0.55320028016976,0.9999999962926716,0.39852509507909417,0.0
SparseAdd,OTBE-noBootstrap,5,0.12844783517381358,1.0,0.7587869106393282,0.7999999999999999,0.9695956560751274,0.043128637590225026,0.6603846029274782,0.9999999966731198,0.3878500428982079,0.0
SparseAdd,OTBE-noBootstrap,6,0.5474602896731805,0.6,0.7188507574477846,1.0,0.8491413043204734,0.10385795267594328,1.094401720732638,0.8587109757764864,0.3703999682329595,0.0
SparseAdd,OTBE-noBootstrap,7,0.06711232140934342,1.0,0.7587869106393282,0.8000000000000002,0.9868562484646193,0.006883389055103943,1.1605607703351801,0.9999999839079601,0.3853000234812498,0.0
SparseAdd,OTBE-noBootstrap,8,0.026414894307696564,1.0,0.7587869106393282,0.6,0.9914467406577017,0.006336147054773613,0.5475595151212721,0.9999999887710538,0.3827249747700989,0.0
SparseAdd,OTBE-noBootstrap,9,0.06358347865802534,1.0,0.7587869106393282,1.0,0.9804407133878271,0.01628478342400701,0.30942931245277383,0.9999999904597082,0.3761500702239573,0.0
SparseAdd,OTBE-noBootstrap,10,0.07765691546837229,1.0,0.7587869106393282,1.0,0.9874722604320856,0.019946786314311904,0.5672588499609046,0.9999999952805113,0.3536498988978565,0.0
SparseAdd,OTBE-noBootstrap,11,0.029925889159846116,1.0,0.7188507574477846,0.37777777777777777,0.9871172578828333,0.02081883164375442,0.40992915266343116,0.9999999945243647,0.35592500353232026,0.0
CorrBias,LIME-R,0,0.03475121412501599,1.0,0.7587869106393282,1.0,0.9942121445987437,0.004021909980330867,1.0284921935578164,0.9999999965945233,0.18277502385899425,
CorrBias,LIME-R,1,0.02080780494152339,1.0,0.7587869106393282,1.0,0.9945952103363824,0.0029131716963120727,1.0117765347306444,0.9999999937121087,0.1863249926827848,
CorrBias,LIME-R,2,0.03552451783429575,1.0,0.7587869106393282,1.0,0.9931493244835293,0.006296574531536888,1.3155933674806384,0.999999997436539,0.21337502403184772,
CorrBias,LIME-R,3,0.058642801793085605,1.0,0.7587869106393282,1.0,0.9906985167565336,0.002969639312435693,0.6221923425388036,0.9999999835778915,0.17122499411925673,
CorrBias,LIME-R,4,0.01791424542922773,1.0,0.7587869106393282,1.0,0.997133922667813,0.0005608856677689227,1.1969506476219731,0.9999999979373903,0.25842501781880856,
CorrBias,LIME-R,5,0.06395699893791675,1.0,0.7587869106393282,1.0,0.9938630901456122,0.00700149642421076,1.072512326029012,0.9999999961090749,0.17659994773566723,
CorrBias,LIME-R,6,0.05651899191842987,1.0,0.7188507574477846,1.0,0.9920982159180403,0.006863461102429396,0.44030851047686004,0.9999999360532587,0.20067504374310374,
CorrBias,LIME-R,7,0.05438343442252518,0.6,0.678914604256241,0.6666666666666666,0.9903360416191154,0.014986042955306506,0.230582417316952,1.0036892147435503,0.22435002028942108,
CorrBias,LIME-R,8,0.02917298870285648,1.0,0.7587869106393282,1.0,0.9971681135144919,0.0046187864326699395,1.4590118208900353,0.9999999975853633,0.1842500059865415,
CorrBias,LIME-R,9,0.061885792744027245,1.0,0.7587869106393282,0.6666666666666666,0.9917076786943473,0.008237972832829973,0.8205939207856766,0.9999999955811668,0.18622493371367455,
CorrBias,LIME-R,10,0.058299773462358796,1.0,0.7587869106393282,0.7333333333333334,0.9945199621818535,0.003984036344039927,0.9081014948885964,0.9999999973070005,0.17297494923695922,
CorrBias,LIME-R,11,0.05785878900592445,1.0,0.7188507574477846,1.0,0.9891365651188201,0.0003813509719586924,0.24146424586984125,0.9999997193420527,0.1871250569820404,
CorrBias,KernelSHAP,0,0.0686451861222867,0.6,0.4392976851069795,0.6,0.9928286338625605,0.012404519515469205,0.9566096513967571,1.0145460745787689,0.13179995585232973,
CorrBias,KernelSHAP,1,0.045699592450413364,1.0,0.7587869106393282,1.0,0.9941276348884822,0.003949480363220925,0.9502084803584925,0.9999999937121087,0.1047999830916524,
CorrBias,KernelSHAP,2,0.04289850044571556,1.0,0.7587869106393282,1.0,0.9954090420780702,0.010749481506897847,1.2127847808286227,0.999999997436539,0.1011500135064125,
